"","Year","survey","catchability"
"119",2009,"Index3",0.000141710212011611
"120",2009,"Index4",0.000128222709698558
"121",2010,"Index1",8.86294007452561e-05
"122",2010,"Index2",9.81731667194292e-05
"123",2010,"Index3",0.000141710212011611
"124",2010,"Index4",0.000128222709698558
"125",2011,"Index1",8.86294007452561e-05
"126",2011,"Index2",9.81731667194292e-05
"127",2011,"Index3",0.000141710212011611
"128",2011,"Index4",0.000128222709698558
"129",2012,"Index1",8.86294007452561e-05
"130",2012,"Index2",9.81731667194292e-05
"131",2012,"Index3",0.000141710212011611
"132",2012,"Index4",0.000128222709698558
"133",2013,"Index1",8.86294007452561e-05
"134",2013,"Index2",9.81731667194292e-05
"135",2013,"Index3",0.000141710212011611
"136",2013,"Index4",0.000128222709698558
"137",2014,"Index1",8.86294007452561e-05
"138",2014,"Index2",9.81731667194292e-05
"139",2014,"Index3",0.000141710212011611
"140",2014,"Index4",0.000128222709698558
"141",2015,"Index1",8.86294007452561e-05
"142",2015,"Index2",9.81731667194292e-05
"143",2015,"Index3",0.000141710212011611
"144",2015,"Index4",0.000128222709698558
"145",2016,"Index1",8.86294007452561e-05
"146",2016,"Index2",9.81731667194292e-05
"147",2016,"Index3",0.000141710212011611
"148",2016,"Index4",0.000128222709698558
"149",2017,"Index1",8.86294007452561e-05
"150",2017,"Index2",9.81731667194292e-05
"151",2017,"Index3",0.000141710212011611
"152",2017,"Index4",0.000128222709698558
"153",2018,"Index1",8.86294007452561e-05
"154",2018,"Index2",9.81731667194292e-05
"155",2018,"Index3",0.000141710212011611
"156",2018,"Index4",0.000128222709698558
"157",2019,"Index1",8.86294007452561e-05
"158",2019,"Index2",9.81731667194292e-05
"159",2019,"Index3",0.000141710212011611
"160",2019,"Index4",0.000128222709698558
"161",2020,"Index1",8.86294007452561e-05
"162",2020,"Index2",9.81731667194292e-05
"163",2020,"Index3",0.000141710212011611
"164",2020,"Index4",0.000128222709698558
"165",2021,"Index1",8.86294007452561e-05
"166",2021,"Index2",9.81731667194292e-05
"167",2021,"Index3",0.000141710212011611
"168",2021,"Index4",0.000128222709698558
